State,Year,Quarter,Registered_users,App_opens,Region
Arunachal_Pradesh,2018,2,2646,0,North-Eastern Region
Arunachal_Pradesh,2018,2,883,0,North-Eastern Region
Arunachal_Pradesh,2018,2,2266,0,North-Eastern Region
Arunachal_Pradesh,2018,2,1276,0,North-Eastern Region
Arunachal_Pradesh,2018,3,1033,0,North-Eastern Region
Arunachal_Pradesh,2018,3,1226,0,North-Eastern Region
Arunachal_Pradesh,2018,3,16009,0,North-Eastern Region
Arunachal_Pradesh,2018,3,542,0,North-Eastern Region
Arunachal_Pradesh,2018,3,717,0,North-Eastern Region
Arunachal_Pradesh,2018,3,145,0,North-Eastern Region
Arunachal_Pradesh,2018,3,4765,0,North-Eastern Region
Arunachal_Pradesh,2018,3,118,0,North-Eastern Region
Arunachal_Pradesh,2018,3,521,0,North-Eastern Region
Arunachal_Pradesh,2018,3,2612,0,North-Eastern Region
Arunachal_Pradesh,2018,3,431,0,North-Eastern Region
Arunachal_Pradesh,2018,3,1286,0,North-Eastern Region
Arunachal_Pradesh,2018,3,644,0,North-Eastern Region
Arunachal_Pradesh,2018,3,1652,0,North-Eastern Region
Arunachal_Pradesh,2018,3,65,0,North-Eastern Region
Arunachal_Pradesh,2018,3,646,0,North-Eastern Region
Arunachal_Pradesh,2018,3,222,0,North-Eastern Region
Arunachal_Pradesh,2018,3,373,0,North-Eastern Region
Arunachal_Pradesh,2018,3,190,0,North-Eastern Region
Arunachal_Pradesh,2018,3,2889,0,North-Eastern Region
Arunachal_Pradesh,2018,3,103,0,North-Eastern Region
Arunachal_Pradesh,2018,3,3590,0,North-Eastern Region
Arunachal_Pradesh,2018,3,1169,0,North-Eastern Region
Arunachal_Pradesh,2018,3,3112,0,North-Eastern Region
Arunachal_Pradesh,2018,3,1862,0,North-Eastern Region
Arunachal_Pradesh,2018,4,1459,0,North-Eastern Region
Arunachal_Pradesh,2018,4,1684,0,North-Eastern Region
Arunachal_Pradesh,2018,4,21342,0,North-Eastern Region
Arunachal_Pradesh,2018,4,744,0,North-Eastern Region
Arunachal_Pradesh,2018,4,936,0,North-Eastern Region
Arunachal_Pradesh,2018,4,178,0,North-Eastern Region
Arunachal_Pradesh,2018,4,6492,0,North-Eastern Region
Arunachal_Pradesh,2018,4,144,0,North-Eastern Region
Arunachal_Pradesh,2018,4,691,0,North-Eastern Region
Arunachal_Pradesh,2018,4,3588,0,North-Eastern Region
Arunachal_Pradesh,2018,4,548,0,North-Eastern Region
Arunachal_Pradesh,2018,4,1827,0,North-Eastern Region
Arunachal_Pradesh,2018,4,923,0,North-Eastern Region
Arunachal_Pradesh,2018,4,2117,0,North-Eastern Region
Arunachal_Pradesh,2018,4,109,0,North-Eastern Region
Arunachal_Pradesh,2018,4,868,0,North-Eastern Region
Arunachal_Pradesh,2018,4,321,0,North-Eastern Region
Arunachal_Pradesh,2018,4,483,0,North-Eastern Region
Arunachal_Pradesh,2018,4,255,0,North-Eastern Region
Arunachal_Pradesh,2018,4,4036,0,North-Eastern Region
Arunachal_Pradesh,2018,4,138,0,North-Eastern Region
Arunachal_Pradesh,2018,4,4813,0,North-Eastern Region
Arunachal_Pradesh,2018,4,1576,0,North-Eastern Region
Arunachal_Pradesh,2018,4,4085,0,North-Eastern Region
Arunachal_Pradesh,2018,4,2495,0,North-Eastern Region
Arunachal_Pradesh,2019,1,1879,0,North-Eastern Region
Arunachal_Pradesh,2019,1,2082,0,North-Eastern Region
Arunachal_Pradesh,2019,1,26298,0,North-Eastern Region
Arunachal_Pradesh,2019,1,934,0,North-Eastern Region
Arunachal_Pradesh,2019,1,1123,0,North-Eastern Region
Arunachal_Pradesh,2019,1,211,0,North-Eastern Region
Arunachal_Pradesh,2019,1,8115,0,North-Eastern Region
Arunachal_Pradesh,2019,1,186,0,North-Eastern Region
Arunachal_Pradesh,2019,1,876,0,North-Eastern Region
Arunachal_Pradesh,2019,1,4416,0,North-Eastern Region
Arunachal_Pradesh,2019,1,710,0,North-Eastern Region
Arunachal_Pradesh,2019,1,2314,0,North-Eastern Region
Arunachal_Pradesh,2019,1,1152,0,North-Eastern Region
Arunachal_Pradesh,2019,1,2656,0,North-Eastern Region
Arunachal_Pradesh,2019,1,141,0,North-Eastern Region
Arunachal_Pradesh,2019,1,1125,0,North-Eastern Region
Arunachal_Pradesh,2019,1,385,0,North-Eastern Region
Arunachal_Pradesh,2019,1,651,0,North-Eastern Region
Arunachal_Pradesh,2019,1,350,0,North-Eastern Region
Arunachal_Pradesh,2019,1,5210,0,North-Eastern Region
Arunachal_Pradesh,2019,1,162,0,North-Eastern Region
Arunachal_Pradesh,2019,1,5899,0,North-Eastern Region
Arunachal_Pradesh,2019,1,1906,0,North-Eastern Region
Arunachal_Pradesh,2019,1,5023,0,North-Eastern Region
Arunachal_Pradesh,2019,1,3153,0,North-Eastern Region
Arunachal_Pradesh,2019,2,2463,11644,North-Eastern Region
Arunachal_Pradesh,2019,2,2697,12779,North-Eastern Region
Arunachal_Pradesh,2019,2,32800,163673,North-Eastern Region
Arunachal_Pradesh,2019,2,1175,4993,North-Eastern Region
Arunachal_Pradesh,2019,2,1457,7737,North-Eastern Region
Arunachal_Pradesh,2019,2,241,258,North-Eastern Region
Arunachal_Pradesh,2019,2,9782,73944,North-Eastern Region
Arunachal_Pradesh,2019,2,225,24,North-Eastern Region
Arunachal_Pradesh,2019,2,1075,4146,North-Eastern Region
Arunachal_Pradesh,2019,2,5485,32550,North-Eastern Region
Arunachal_Pradesh,2019,2,903,4196,North-Eastern Region
Arunachal_Pradesh,2019,2,2842,12669,North-Eastern Region
Arunachal_Pradesh,2019,2,1420,13256,North-Eastern Region
Arunachal_Pradesh,2019,2,3393,15972,North-Eastern Region
